drainage_density,logDoK
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
0.0018930794904008508,-8.938802404193982
